Airline,Source,Destination,Total_Stops,Price,Price_USD,Duration_min,Journey_day,Journey_month,Dep_hour,Dep_min,Arr_hour,Arr_min
IndiGo,Banglore,New Delhi,0,3897,46.764,170,24,3,22,20,1,10
Air India,Kolkata,Banglore,2,7662,91.944,445,1,5,5,50,13,15
Jet Airways,Delhi,Cochin,2,13882,166.584,1140,9,6,9,25,4,25
IndiGo,Kolkata,Banglore,1,6218,74.616,325,12,5,18,5,23,30
IndiGo,Banglore,New Delhi,1,13302,159.624,285,1,3,16,50,21,35
SpiceJet,Kolkata,Banglore,0,3873,46.476,145,24,6,9,0,11,25
Jet Airways,Banglore,New Delhi,1,11087,133.044,930,12,3,18,55,10,25
Jet Airways,Banglore,New Delhi,1,22270,267.24,1265,1,3,8,0,5,5
Jet Airways,Banglore,New Delhi,1,11087,133.044,1530,12,3,8,55,10,25
Multiple carriers,Delhi,Cochin,1,8625,103.5,470,27,5,11,25,19,15
Air India,Delhi,Cochin,1,8907,106.884,795,1,6,9,45,23,0
IndiGo,Kolkata,Banglore,0,4174,50.088,155,18,4,20,20,22,55
Air India,Chennai,Kolkata,0,4667,56.004,135,24,6,11,40,13,55
Jet Airways,Kolkata,Banglore,1,9663,115.956,730,9,5,21,10,9,20
IndiGo,Kolkata,Banglore,0,4804,57.648,155,24,4,17,15,19,50
Air India,Delhi,Cochin,2,14011,168.132,1595,3,3,16,40,19,15
SpiceJet,Delhi,Cochin,1,5830,69.96000000000001,270,15,4,8,45,13,15
Jet Airways,Delhi,Cochin,1,10262,123.144,1355,12,6,14,0,12,35
Air India,Delhi,Cochin,2,13381,160.572,1380,12,6,20,15,19,15
Jet Airways,Delhi,Cochin,1,12898,154.776,1235,27,5,16,0,12,35
GoAir,Delhi,Cochin,1,19495,233.94,310,6,3,14,10,19,20
Air India,Banglore,New Delhi,1,6955,83.46000000000001,920,21,3,22,0,13,20
IndiGo,Banglore,Delhi,0,3943,47.316,170,3,4,4,0,6,50
IndiGo,Banglore,Delhi,0,4823,57.876,175,1,5,18,55,21,50
Jet Airways,Kolkata,Banglore,1,7757,93.084,800,6,5,18,55,8,15
Jet Airways,Delhi,Cochin,2,13292,159.504,910,9,6,21,25,12,35
IndiGo,Delhi,Cochin,1,8238,98.85600000000001,345,1,6,21,50,3,35
GoAir,Delhi,Cochin,1,7682,92.184,355,15,5,7,0,12,55
Vistara,Banglore,Delhi,0,4668,56.016,170,18,6,9,45,12,35
Vistara,Chennai,Kolkata,0,3687,44.244,135,15,6,7,5,9,20
Vistara,Chennai,Kolkata,0,3687,44.244,135,18,6,7,5,9,20
Air India,Kolkata,Banglore,2,13227,158.724,805,1,5,9,50,23,15
IndiGo,Banglore,Delhi,0,4423,53.076,170,6,4,4,0,6,50
Jet Airways,Delhi,Cochin,2,10919,131.028,1320,15,6,14,35,12,35
Jet Airways,Delhi,Cochin,1,12373,148.476,330,18,5,7,5,12,35
IndiGo,Delhi,Cochin,1,5894,70.728,625,27,6,10,35,21,0
SpiceJet,Kolkata,Banglore,1,4649,55.788000000000004,315,21,5,15,5,20,20
Air India,Kolkata,Banglore,0,6245,74.94,150,18,5,14,15,16,45
Jet Airways,Banglore,New Delhi,1,19225,230.70000000000002,375,6,3,7,0,13,15
Jet Airways,Delhi,Cochin,1,14924,179.088,715,3,6,7,5,19,0
Multiple carriers,Delhi,Cochin,1,9646,115.752,665,21,5,7,5,18,10
Air India,Banglore,New Delhi,1,8714,104.568,510,15,3,6,45,15,15
Jet Airways,Delhi,Cochin,1,12373,148.476,1325,18,5,20,55,19,0
Air Asia,Banglore,Delhi,0,3383,40.596000000000004,165,6,5,11,10,13,55
Multiple carriers,Delhi,Cochin,1,13062,156.744,720,21,3,9,0,21,0
SpiceJet,Banglore,New Delhi,0,3527,42.324,170,24,3,5,45,8,35
IndiGo,Banglore,Delhi,0,3943,47.316,170,27,5,4,0,6,50
Air India,Chennai,Kolkata,0,4667,56.004,135,3,5,11,40,13,55
Air India,Kolkata,Banglore,1,6117,73.404,965,15,5,19,0,11,5
Jet Airways,Delhi,Cochin,2,11150,133.8,1195,27,6,23,5,19,0
Jet Airways,Delhi,Cochin,0,7202,86.424,195,9,3,11,0,14,15
Jet Airways,Kolkata,Banglore,1,12121,145.452,1520,1,5,9,35,10,55
IndiGo,Banglore,New Delhi,0,4377,52.524,170,24,3,22,20,1,10
IndiGo,Banglore,Delhi,0,3943,47.316,180,18,6,21,15,0,15
Air Asia,Banglore,Delhi,0,4483,53.796,170,3,4,23,55,2,45
Jet Airways,Kolkata,Banglore,1,14231,170.772,975,24,3,19,45,12,0
Air India,Banglore,New Delhi,2,17345,208.14000000000001,905,1,3,8,50,23,55
Vistara,Chennai,Kolkata,0,7414,88.968,135,6,3,7,5,9,20
Multiple carriers,Delhi,Cochin,1,8073,96.876,390,6,5,19,0,1,30
Vistara,Mumbai,Hyderabad,1,12395,148.74,1505,6,3,15,40,16,45
Air India,Kolkata,Banglore,1,8366,100.392,745,6,6,9,25,21,50
Air India,Delhi,Cochin,1,5117,61.404,1640,3,4,6,5,9,25
Multiple carriers,Delhi,Cochin,1,12524,150.288,615,3,6,8,45,19,0
IndiGo,Delhi,Cochin,1,7191,86.292,630,15,5,15,0,1,30
Vistara,Chennai,Kolkata,0,3687,44.244,135,24,5,7,5,9,20
IndiGo,Delhi,Cochin,1,5894,70.728,625,24,6,10,35,21,0
Vistara,Banglore,Delhi,0,5403,64.836,170,24,4,9,45,12,35
Air India,Mumbai,Hyderabad,0,3625,43.5,90,6,5,13,55,15,25
Air India,Delhi,Cochin,2,10861,130.332,800,21,5,5,55,19,15
IndiGo,Chennai,Kolkata,0,6297,75.56400000000001,135,12,3,13,20,15,35
Jet Airways,Mumbai,Hyderabad,0,5678,68.136,85,1,6,7,5,8,30
Jet Airways,Banglore,New Delhi,1,9134,109.608,1590,9,3,5,45,8,15
Multiple carriers,Delhi,Cochin,1,10791,129.492,440,24,6,11,40,19,0
Jet Airways,Delhi,Cochin,2,12819,153.828,810,24,6,23,5,12,35
IndiGo,Delhi,Cochin,1,6893,82.71600000000001,300,21,3,5,5,10,5
Vistara,Banglore,New Delhi,0,7240,86.88,165,9,3,9,50,12,35
GoAir,Banglore,Delhi,0,3898,46.776,170,3,4,11,40,14,30
IndiGo,Mumbai,Hyderabad,0,4049,48.588,90,3,4,6,25,7,55
Jet Airways,Delhi,Cochin,1,10262,123.144,1145,15,6,17,30,12,35
SpiceJet,Chennai,Kolkata,0,3332,39.984,135,21,3,8,20,10,35
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,890,9,6,21,10,12,0
Jet Airways,Banglore,New Delhi,0,7229,86.748,160,24,3,19,55,22,35
Jet Airways,Kolkata,Banglore,1,13941,167.292,1330,6,5,6,30,4,40
IndiGo,Delhi,Cochin,1,5894,70.728,575,27,6,11,25,21,0
Multiple carriers,Delhi,Cochin,1,10197,122.364,600,18,5,9,0,19,0
Jet Airways,Banglore,New Delhi,1,13712,164.544,1280,6,3,14,5,11,25
IndiGo,Delhi,Cochin,1,5636,67.632,325,24,6,2,0,7,25
Jet Airways,Delhi,Cochin,2,13014,156.168,1125,6,6,9,40,4,25
Jet Airways,Kolkata,Banglore,1,7064,84.768,740,1,4,8,25,20,45
Jet Airways,Kolkata,Banglore,1,10703,128.436,1080,24,5,20,25,14,25
Multiple carriers,Delhi,Cochin,1,9646,115.752,555,27,5,13,15,22,30
Multiple carriers,Delhi,Cochin,1,17057,204.684,665,6,3,2,15,13,20
Jet Airways,Banglore,New Delhi,1,13817,165.804,1050,12,3,16,55,10,25
